 user_id |      full_name       | course_id |  student_avg_score  |  course_avg_score   
---------+----------------------+-----------+---------------------+---------------------
      19 | Student9 Lastname9   |        12 | 58.0000000000000000 | 56.7804878048780488
      19 | Student9 Lastname9   |         2 | 58.0000000000000000 | 53.2826086956521739
      19 | Student9 Lastname9   |        13 | 62.6666666666666667 | 45.9672131147540984
      15 | Student5 Lastname5   |         6 | 73.5000000000000000 | 48.1282051282051282
      41 | Student31 Lastname31 |        18 | 65.6666666666666667 | 50.0277777777777778
      36 | Student26 Lastname26 |         9 | 56.7500000000000000 | 55.4285714285714286
      19 | Student9 Lastname9   |         4 | 59.2500000000000000 | 52.8723404255319149
      40 | Student30 Lastname30 |        14 | 82.0000000000000000 | 45.0208333333333333
      21 | Student11 Lastname11 |        11 | 58.5000000000000000 | 53.1666666666666667
      27 | Student17 Lastname17 |        16 | 60.3333333333333333 | 48.8157894736842105
      24 | Student14 Lastname14 |         8 | 58.2500000000000000 | 49.8085106382978723
      17 | Student7 Lastname7   |         5 | 67.7500000000000000 | 53.5686274509803922
      15 | Student5 Lastname5   |         7 | 71.0000000000000000 | 52.9210526315789474
      42 | Student32 Lastname32 |         7 | 64.0000000000000000 | 52.9210526315789474
      18 | Student8 Lastname8   |        11 | 70.6666666666666667 | 53.1666666666666667
      15 | Student5 Lastname5   |         8 | 50.0000000000000000 | 49.8085106382978723
      26 | Student16 Lastname16 |        12 | 78.5000000000000000 | 56.7804878048780488
      20 | Student10 Lastname10 |        15 | 75.3333333333333333 | 55.2826086956521739
      18 | Student8 Lastname8   |         9 | 79.6666666666666667 | 55.4285714285714286
      34 | Student24 Lastname24 |        16 | 82.0000000000000000 | 48.8157894736842105
      26 | Student16 Lastname16 |        17 | 81.5000000000000000 | 49.4117647058823529
      40 | Student30 Lastname30 |        13 | 50.0000000000000000 | 45.9672131147540984
      42 | Student32 Lastname32 |         2 | 57.5000000000000000 | 53.2826086956521739
      14 | Student4 Lastname4   |        13 | 50.6666666666666667 | 45.9672131147540984
      24 | Student14 Lastname14 |         9 | 76.6666666666666667 | 55.4285714285714286
      21 | Student11 Lastname11 |         3 | 59.6666666666666667 | 50.9736842105263158
      14 | Student4 Lastname4   |         4 | 67.7500000000000000 | 52.8723404255319149
      22 | Student12 Lastname12 |        17 | 66.6666666666666667 | 49.4117647058823529
      45 | Student35 Lastname35 |        15 | 73.5000000000000000 | 55.2826086956521739
      21 | Student11 Lastname11 |        12 | 70.5000000000000000 | 56.7804878048780488
      31 | Student21 Lastname21 |         8 | 62.0000000000000000 | 49.8085106382978723
      30 | Student20 Lastname20 |         7 | 63.3333333333333333 | 52.9210526315789474
      25 | Student15 Lastname15 |         3 | 51.7500000000000000 | 50.9736842105263158
      17 | Student7 Lastname7   |        13 | 61.0000000000000000 | 45.9672131147540984
      15 | Student5 Lastname5   |        10 | 63.0000000000000000 | 52.5400000000000000
      28 | Student18 Lastname18 |        11 | 57.3333333333333333 | 53.1666666666666667
      27 | Student17 Lastname17 |        18 | 69.0000000000000000 | 50.0277777777777778
      41 | Student31 Lastname31 |        11 | 63.5000000000000000 | 53.1666666666666667
      41 | Student31 Lastname31 |         5 | 95.6666666666666667 | 53.5686274509803922
      45 | Student35 Lastname35 |         6 | 52.3333333333333333 | 48.1282051282051282
      41 | Student31 Lastname31 |        16 | 60.7500000000000000 | 48.8157894736842105
      11 | Student1 Lastname1   |        13 | 80.3333333333333333 | 45.9672131147540984
      17 | Student7 Lastname7   |        17 | 52.0000000000000000 | 49.4117647058823529
      29 | Student19 Lastname19 |         1 | 65.6666666666666667 | 53.0000000000000000
      36 | Student26 Lastname26 |        16 | 59.3333333333333333 | 48.8157894736842105
      42 | Student32 Lastname32 |        11 | 72.2500000000000000 | 53.1666666666666667
      27 | Student17 Lastname17 |         2 | 57.3333333333333333 | 53.2826086956521739
      29 | Student19 Lastname19 |        10 | 76.6666666666666667 | 52.5400000000000000
